album_id,artist_id,album_name,album_popularity,releaste_date
1mgw5rbUS94uif2ce9QCf0,1sBkRIssrMs1AbVkOJbc7a,Port of Miami 2,70,2019-08-15
08XXyTmAv1vNghZS4p0ng2,1sBkRIssrMs1AbVkOJbc7a,Rather You Than Me,59,2017-03-17
5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,Black Market (Deluxe),51,2015-12-04
7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,Black Market,40,2015-12-04
5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,Hood Billionaire (Deluxe),38,2014-11-24
6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,Mastermind (Deluxe),58,2014-01-01
75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,Mastermind (Deluxe),23,2014-01-01
1iTpsn4fbLlsdKDKFuUfsH,1sBkRIssrMs1AbVkOJbc7a,Mastermind,38,2014-01-01
4XxnttxKV0zFWKylg5LZ6h,1sBkRIssrMs1AbVkOJbc7a,Mastermind,24,2014-01-01
1YSb516nyR6ALY2ji1eCAV,1sBkRIssrMs1AbVkOJbc7a,God Forgives, I Don't (Deluxe Edition),56,2012-01-01
7qbUAnMt3SH0eDsu5xi2y4,1sBkRIssrMs1AbVkOJbc7a,God Forgives, I Don't,37,2012-01-01
0jipZxGtkTDHjVerLkzO80,1sBkRIssrMs1AbVkOJbc7a,Teflon Don,61,2010-01-01
1V7LkBaQoxo0wbd0iKkn5a,1sBkRIssrMs1AbVkOJbc7a,Deeper Than Rap,50,2009-01-01
5aLTYIjHs4gctDSfsNosvb,1sBkRIssrMs1AbVkOJbc7a,Rise To Power (Clean Version),15,2008-10-07
3DIGh7QbQEwtLCJ07P4XGa,1sBkRIssrMs1AbVkOJbc7a,Trilla,55,2008-01-01
42T8qfRs7jdpInsSk6nDJk,1sBkRIssrMs1AbVkOJbc7a,Port Of Miami,62,2006-01-01
6J2L9yEE4pF1qPvfVZeJUt,1sBkRIssrMs1AbVkOJbc7a,Turnpike Ike,26,2019-08-06
11aJHLZMcrwDkTHmmnmF0k,1sBkRIssrMs1AbVkOJbc7a,Gold Roses (feat. Drake),64,2019-07-26
2u29pL0PTNRoRHlkZkaTXK,1sBkRIssrMs1AbVkOJbc7a,BIG TYME,49,2019-07-02
0a7jB92VAx5XUNqvryHsox,1sBkRIssrMs1AbVkOJbc7a,Act a Fool,49,2019-06-21
4g1ZRSobMefqF6nelkgibi,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,100,2019-09-06
3xiq77UtnlDXfcRz5IJu20,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,68,2019-09-06
6trNtQUgC8cgbWcqoMYkOR,246dkjvS1zLTtiykXe5h60,beerbongs & bentleys,90,2018-04-27
5s0rmjP8XOPhP6HhqOhuyC,246dkjvS1zLTtiykXe5h60,Stoney (Deluxe),87,2016-12-09
3zAcZrky4QNM28YS0tHSYQ,246dkjvS1zLTtiykXe5h60,Stoney,56,2016-12-09
1Id3Zj9GMvi7dPj3u6cMNs,246dkjvS1zLTtiykXe5h60,Wow. (Remix),64,2019-03-15
5oL7DNAeNb3CzJ4AujYFlO,246dkjvS1zLTtiykXe5h60,Wow. (Instrumental),40,2019-03-14
7zoRgdMDAV1J7N4tfmnwtF,246dkjvS1zLTtiykXe5h60,rockstar (Remix),48,2017-12-08
3oeiU8nG5eDm5YPpDvK6eS,246dkjvS1zLTtiykXe5h60,Congratulations (Remix),49,2017-06-16
2FJ7ofXR92xTsE0v0kw8vL,0LyfQWJT6nXafLPZqxe9Of,GH VIP 2019,34,2019-10-24
