artist_id,artist_name,artist_genre,artist_followers,artist_popularity
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,`dirty south rap` `gangster rap` `hip hop` `pop rap` `rap` `southern hip hop` `trap` ,3544953,85
246dkjvS1zLTtiykXe5h60,Post Malone,`dfw rap` `melodic rap` `pop` `rap` ,19200029,100
7d3WFRME3vBY2cgoP38RDo,Lil Skies,`melodic rap` `pop` `pop rap` `rap` `trap` ,3301481,84
6oMuImdp5ZcFhWP0ESe6mG,Migos,`atl hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` ,9565106,86
4IVAbR2w4JJNJDDRFP3E83,6LACK,`alternative r&b` `atl hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `trap` ,1887067,83
7rkW85dBwwrJtlHRDkJDAC,NAV,`canadian hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `toronto rap` `trap` ,1646023,83
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,`hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` ,1537287,83
6i392l38cR3uBPF0DbNs7S,Quality Control,`hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `trap` ,446021,81
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,`melodic rap` `philly rap` `pop rap` `rap` `trap` ,7183411,88
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,`chicago rap` `melodic rap` `pop` ,6014700,93
0VRj0yCOv2FXJNP47XQnx5,Quavo,`atl hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `trap` ,3390512,86
50co4Is1HCEo8bhOyUWKpn,Young Thug,`atl hip hop` `atl trap` `gangster rap` `melodic rap` `pop rap` `rap` `trap` ,4535056,93
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,`canadian hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `toronto rap` `trap` ,2563267,84
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,`new jersey rap` `pop` `pop rap` `rap` `southern hip hop` `trap` ,3533249,77
6vXTefBL93Dj5IqAWq6OTv,French Montana,`hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` ,3124802,85
1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,`pop` `pop rap` ,226037,76
5CiGnKThu5ctn9pBxv7DGa,benny blanco,`dance pop` `edm` `pop` `pop rap` `post-teen pop` `tropical house` ,402626,81
0c173mlxpT3dSFRgMO8XPh,Big Sean,`detroit hip hop` `hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` ,6730736,85
5i4BaWy8YIun1u3RXwmlWn,gianni & kyle,`pop` `pop rap` `social media pop` ,103845,71
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,`atl hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `trap` ,1825889,82
