artist_id,album_id,track_id,track_acousticness,track_danceability,track_duration_ms,track_energy,track_instrumentalness,track_key,track_liveness,track_loudness,track_mode,track_speechiness,track_tempo,track_time_signature,track_valence
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,045JWx32CaSDOpUACXaxWE,0.0133,0.599,286213,0.81,0,10,0.35,-4.062,0,0.126,157.856,4,0.441
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,12NFbnTFq0EvxPsstNBSrE,0.0193,0.44,260413,0.764,0,0,0.204,-4.426,0,0.374,80.049,1,0.127
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,3ZZkSBbBOXi1NFzPbY7Lxb,0.000676,0.762,245240,0.666,0,1,0.15,-6.203,1,0.401,157.104,4,0.362
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,14geRrYSRz73sBbtPD4iPQ,0.0394,0.517,226480,0.541,0,0,0.678,-6.844,1,0.235,139.076,4,0.123
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,1EW1ApmkymvxOyJSpkqrZV,0.0525,0.412,199307,0.928,0,11,0.0964,-5.5,0,0.397,159.475,4,0.607
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,1ZnLtcV93kvm5Mz7wXVQ3z,0.000729,0.56,242853,0.767,4.22e-06,1,0.342,-4.328,1,0.125,83.907,4,0.169
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,3va2EAQNqHBDkJiuWEU3XW,0.53,0.53,241453,0.655,0,1,0.117,-7.384,0,0.143,87.498,4,0.131
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,5FwKBU61DSOW89d23NUzI0,0.158,0.428,249253,0.916,0,8,0.321,-2.998,0,0.42,88.13,4,0.482
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,0tCzx4i4gFMCVM7ikdBAgw,0.107,0.742,280933,0.605,0,10,0.101,-7.209,0,0.339,80.556,4,0.459
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,5DmnClezRpxmk4tnDGNDcd,0.0422,0.538,325760,0.875,0,11,0.137,-4.595,0,0.329,142.432,4,0.678
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,29OIRNDUGLfk8sQ5PZBXGZ,0.0331,0.331,296667,0.716,0,7,0.4,-4.912,1,0.196,81.852,4,0.306
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,3s9f1LQ6607eDj9UYCzmgk,0.0744,0.536,224840,0.622,0,1,0.197,-7.98,1,0.262,70.474,3,0.227
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,4Lu8iU89DdL7VqvH5fmjpc,0.0943,0.459,319107,0.661,0,1,0.503,-5.453,1,0.277,84.257,4,0.231
1sBkRIssrMs1AbVkOJbc7a,1mgw5rbUS94uif2ce9QCf0,3mJBWnmzYyQkoe0tqgTw8g,0.219,0.487,242173,0.72,0,3,0.0953,-6.288,0,0.118,86.008,4,0.224
